Group,Type,Question,CorrectAns,Answer1,Answer2,Answer3,Answer4,CorrectExplanation,IncorrectExplanation
M30M-ME5-N3,TMC,"Pregunta 11",1,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzNQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzNQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 12",2,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyMw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyMw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 13",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyOA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyOA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 14",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyNg==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyNg==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 15",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzMA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzMA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 16",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzNg==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzNg==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 17",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzNA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzNA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 18",1,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyNA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyNA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 19",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyNQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyNQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 20",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyNQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyNQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 21",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzMw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzMw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 22",2,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkxOQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkxOQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 23",2,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzNw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkzNw==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 24",3,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyOQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkyOQ==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
M30M-ME5-N3,TMC,"Pregunta 25",4,A,B,C,D,"<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkxOA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>","<div style=""position:relative; width:1px; min-width:100%;padding-bottom:56.25%;""><iframe allow=""autoplay"" class='spotlightr' allowtransparency=""true"" style=""width:1px; min-width:100%; height: 100%; position:absolute; "" allowfullscreen=""true"" src=""https://videos.cdn.spotlightr.com/watch/MTg0MTkxOA==?fallback=true"" frameborder=""0"" scrolling=""no"" name=""videoPlayer"" > </iframe></div>"
